M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,Y.1,Y.2,Y.3,Y.4,Y.5,Y.6,Y.7,Y.8,Y.9,Y.10,Y.11,Y.12,X,Z
-0.852519961,-0.003399419,3.360467491,4.487320222,8.537460472,8.911523846,12.65439679,14.16787412,15.35018447,18.53416343,20.82279641,21.56813532,3.156905766,3.709880756,3.776776717,3.127265386,3.669324973,2.499905632,3.244298863,4.809443409,4.268980954,4.491414948,4.807638998,3.498020667,1,1.486912589
-0.479888443,-1.382139813,-0.830283899,-2.837555322,-3.094520792,-2.999883502,-2.429543626,-2.318160312,-4.756351538,-3.907936422,-5.749734938,-7.421039339,-2.437173849,-0.9646104,-0.359795102,0.178203818,1.459067228,1.85297009,2.482162411,4.071870112,4.947092587,6.118077548,6.754216607,7.340215496,0,0.31596828
-0.373687872,2.063611862,4.946494437,6.619071701,11.5925551,13.39965919,16.75305651,18.5645902,21.95079301,24.98509464,29.02617331,31.36915717,16.2085867,14.73661841,14.00786511,12.67961475,12.09690643,10.97395421,10.35262794,8.508377384,8.079351849,6.5969785,4.723122615,3.634280612,1,-1.41402812
-1.326905635,-0.349090814,0.351921614,1.444124147,3.978372626,5.104136271,5.907795072,6.945435188,7.001259726,10.05961854,10.81062367,12.31784582,6.593333032,5.413202381,6.182927242,5.751066272,7.469204414,6.565774395,6.473320185,7.218129222,6.854744903,7.412533721,7.322074477,6.985093271,1,0.131119566
-0.662558683,1.108490583,-0.433275645,0.166130398,-0.541242602,0.706926901,0.987939686,1.400848473,2.366340747,1.515959516,2.574858569,1.368720473,12.51169522,12.30733121,11.35194748,11.29987192,10.85527203,10.58555921,9.42915899,9.56345087,9.156565122,8.194373135,7.337314841,7.043556131,0,-0.585571577
1.24490373,-0.574766117,-1.455199182,-1.893320636,-2.76112742,-4.2239027,-5.932752068,-5.271178347,-6.156885669,-5.996170362,-8.21017273,-8.285389491,7.904846168,8.585723479,8.030692541,7.956660102,7.904429605,8.690903819,7.450609569,7.985649411,8.33322044,6.862878689,7.604410166,8.292982327,0,-1.828364481
-1.251027836,3.386340481,4.633644024,8.939893022,11.40059472,14.74420515,16.61019554,19.99574784,21.78036695,26.29297092,27.85215008,31.92161397,22.64762369,21.47332952,20.32549647,18.03354439,16.00059285,15.31690251,12.92922573,11.51499136,9.293519202,7.492912295,5.689538607,3.497583014,1,0.225915662
-0.529090471,-0.029103558,-0.502810726,-0.213532315,-1.875116016,-1.317543319,-4.596078234,-3.639672757,-2.797889532,-3.402908167,-3.020820221,-3.440472955,9.987151733,9.758328564,9.31021133,9.763733582,9.333236539,8.647398649,8.068897086,8.749874829,8.960923377,8.641540949,8.768996389,8.295361265,0,-1.168509538
1.117468299,0.409226036,1.452997302,0.928559017,0.718662357,1.746528963,2.266864708,2.028345044,2.703965262,3.029734158,3.686535343,2.678448892,4.094866451,3.858979698,4.392183102,5.433665058,5.278046022,6.353749944,6.160274429,6.486986145,6.781172002,6.917775933,7.912628014,9.15963753,0,1.71370702
-0.494500562,1.212791922,1.74447901,4.694835251,5.038442202,7.861289563,8.84402779,11.44531838,11.60034443,12.74701191,13.08303084,15.19288248,-1.71817753,-1.457438112,-0.731019982,-0.193705578,0.661333204,1.235685522,2.916302046,3.794254156,4.167994407,5.205464611,4.760237073,5.900586485,1,-0.555772889
-0.00668653,-0.495545099,0.347296667,0.80173516,3.707080204,5.508286646,4.261677917,5.392752813,6.269768095,7.378898093,9.909612012,8.98525156,6.204787689,6.162725114,6.426941753,6.725611253,7.435781414,7.96036334,7.685022198,8.740978649,8.680590031,8.044718676,8.339716118,8.72711014,1,-0.894573671
-0.046319825,2.02795834,2.089169679,4.403374542,7.691733993,9.361514923,10.37658596,12.72862005,14.4445833,16.42823451,19.42958709,19.9942405,13.28446012,13.32959915,11.58828812,10.90287452,10.19782881,10.23554126,9.521445036,8.05397353,7.307175802,6.109381031,5.566356883,5.419301488,1,0.233401791
-2.84473737,-0.576949408,3.807681134,5.72965156,8.633622661,9.729544918,12.53113313,17.56808098,17.87805697,20.03676068,23.4442612,25.98786804,8.860180073,9.373564105,9.648948376,9.210255254,9.147121968,8.150294641,9.599773508,8.450396911,7.922133339,7.620634155,7.220996839,7.818025279,1,-0.100755592
